Camera ID,Camera Name,Event Created At
5,PTZ-Oghi Solar,2024-05-17 21:42:38.572729+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:33:06.703448+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:32:28.792492+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:31:51.002733+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:31:14.638348+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:30:38.351602+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:30:01.936261+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:29:27.089153+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:28:53.194805+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:28:19.801662+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:27:44.391040+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:27:10.333066+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:26:37.649103+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:26:05.913119+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:25:33.951362+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:25:01.321822+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:24:29.148097+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:23:56.371812+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:23:24.317325+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:22:53.036391+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:22:22.004952+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:21:49.414180+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:21:17.992379+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:20:46.362302+00:00
3,PTZ-Danna Top,2024-05-17 21:20:37.749237+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:19:20.863621+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:18:40.237989+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:17:59.600021+00:00
6,PTZ-Chowki Top,2024-05-17 21:17:28.415279+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:17:17.403298+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:16:35.483426+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:15:52.199282+00:00
7,PTZ-Badrosha,2024-05-17 21:15:32.301850+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:15:09.940463+00:00
8,PTZ-Massar Sector 14,2024-05-17 21:14:28.421281+00:00
